status,reason,n_papers_cited,publisher,title,domain,retrievability,pdf_bytes,txt_chars,slug,url
ok,cached,2,World Bank,Climate Risk and Financial Institutions,openknowledge.worldbank.org,cli-likely,2563513,489635,openknowledge_worldbank_org_cc0eef9b,https://openknowledge.worldbank.org/server/api/core/bitstreams/8d25c2fe-5e30-5c8c-a417-3d88a7e5ada7/content
ok,cached,1,World Bank,Sustainable Land Management for Mitigation of and Adaptation to Climate Change,openknowledge.worldbank.org,cli-likely,7673977,362123,openknowledge_worldbank_org_47386006,https://openknowledge.worldbank.org/server/api/core/bitstreams/a0b1b9fc-4e9d-5df3-a0b3-b75efce15c18/content
ok,cached,1,World Bank,A Review of Selected Hydrology Topics to Support Bank Operations,openknowledge.worldbank.org,cli-likely,5342022,569678,openknowledge_worldbank_org_c76d33dc,https://openknowledge.worldbank.org/server/api/core/bitstreams/e9bc1962-d0fc-55cc-9230-b77cd5f7432e/content
ok,cached,2,National Academies Press,Precise Geodetic Infrastructure: National Requirements for a Shared Resource,www.nap.edu,unknown,884996,26363,www_nap_edu_425d29c8,https://www.nap.edu/download/12954
ok,cached,1,National Academies Press,Understanding the Changing Planet: Strategic Directions for the Geographical Sci,www.nap.edu,unknown,300750,21155,www_nap_edu_ec8a6584,https://www.nap.edu/download/12860
ok,cached,1,World Meteorological Organization (WMO),Summary Report of the Twelfth Session of the GTOS/GCOS Terrestrial Observation P,library.wmo.int,unknown,732839,80332,library_wmo_int_00ba2b2d,https://library.wmo.int/viewer/48302/download?file=wmo-td_1528_en.pdf&type=pdf&navigator=1
ok,cached,1,Food and Agriculture Organization of the United Nations,Groundwater use for irrigation – a global inventory,openknowledge.fao.org,unknown,2871730,125420,openknowledge_fao_org_1e38d54a,https://openknowledge.fao.org/server/api/core/bitstreams/5ce1f0d9-6b22-4768-9cd7-c71ad699e4f0/content
ok,cached,1,Center for Strategic and International Studies,Water and Agriculture: Implications for Development and Growth,csis-website-prod.s3.amazonaws.com,unknown,1701912,370741,csis_website_prod_s3_amazonaws_com_1ad0c930,https://csis-website-prod.s3.amazonaws.com/s3fs-public/legacy_files/files/publication/091104_Peterson_Water%26Agri_WEB.pdf
ok,cached,2,UNESCO,Water in a changing world: the United Nations world water development report 3,unesdoc.unesco.org,cloudflare-blocked,43752901,3108260,unesdoc_unesco_org_ff1b04d5,http://unesdoc.unesco.org/images/0018/001819/181993kor.pdf
fail,landing-page (no pdf link found),2,UNESCO,Water in a changing world: the United Nations world water development report 3,unesdoc.unesco.org,cloudflare-blocked,0,0,unesdoc_unesco_org_7aeed1d0,http://unesdoc.unesco.org/images/0018/001819/181993e.pdf
ok,cached,1,Australian Academy of Sciences,An Australian Strategic Plan For Earth Observations From Space,www.science.org.au,unknown,1256014,415158,www_science_org_au_d55588da,https://www.science.org.au/files/userfiles/support/reports-and-plans/2015/earth-observations-from-space.pdf
ok,manual,1,U.S. Global Change Research Program (USGCRP),SAP 1.3: Reanalysis of Historical Climate Data for Key Atmospheric Features: Imp,downloads.globalchange.gov,unknown,7690110,779174,downloads_globalchange_gov_7e5020f1,https://downloads.globalchange.gov/sap/sap1-3/sap1-3-final-all.pdf
ok,cached,3,National Academies Press,Integrating Multiscale Observations of U.S. Waters,www.nap.edu,unknown,359234,19047,www_nap_edu_d99f6dc4,https://www.nap.edu/download/12060
ok,cached,1,National Academies Press,Groundwater Fluxes Across Interfaces,www.nap.edu,unknown,2643423,332887,www_nap_edu_a5610785,https://www.nap.edu/download/10891
ok,cached,1,National Academies Press,Confronting the Nation's Water Problems: The Role of Research,www.nap.edu,unknown,16394372,988911,www_nap_edu_2faa90de,https://www.nap.edu/download/11031
